Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
7C 6013,JJA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
7C 6014,JJA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
BX 3935,ABL,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
BX 3945,ABL,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 410,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 411,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
CX 413,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
CX 418,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 419,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
CX 426,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 427,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
CX 430,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 434,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 439,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
HX 626,CRK,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
HX 627,CRK,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
HX 628,CRK,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
HX 629,CRK,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
KE 2001,KAL,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
KE 2002,KAL,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
KE 2005,KAL,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
KE 2006,KAL,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
KE 2011,KAL,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
KE 2012,KAL,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
OZ 721,AAR,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
OZ 722,AAR,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
OZ 745,AAR,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
OZ 746,AAR,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
TW 643,TWB,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
TW 644,TWB,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 614,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 615,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
UO 616,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 617,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
UO 618,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 619,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
UO 626,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 627,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
UO 630,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 631,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
YP 801,APZ,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
