query_flight_iata,airline_name,departure_airport,departure_iata,departure_scheduled,arrival_airport,arrival_iata,arrival_scheduled,flight_status
7C6013,Jeju Air,Seoul (Incheon),ICN,2026-08-16T20:40:00+00:00,Hong Kong International,HKG,2026-08-16T23:35:00+00:00,active
7C6014,Jeju Air,Hong Kong International,HKG,2026-08-17T00:35:00+00:00,Seoul (Incheon),ICN,2026-08-17T05:30:00+00:00,scheduled
BX3935,Air Busan,Seoul (Incheon),ICN,2026-08-16T21:30:00+00:00,Hong Kong International,HKG,2026-08-17T00:15:00+00:00,active
BX3945,Air Busan,Hong Kong International,HKG,2026-08-17T01:25:00+00:00,Seoul (Incheon),ICN,2026-08-17T06:25:00+00:00,scheduled
CX410,Qantas,Hong Kong International,HKG,2026-08-16T09:25:00+00:00,Seoul (Incheon),ICN,2026-08-16T14:05:00+00:00,landed
CX411,Cathay Pacific,Seoul (Incheon),ICN,2026-08-16T15:10:00+00:00,Hong Kong International,HKG,2026-08-16T18:00:00+00:00,active
CX413,Cathay Pacific,Seoul (Incheon),ICN,2026-08-16T08:00:00+00:00,Hong Kong International,HKG,2026-08-16T10:50:00+00:00,landed
CX418,Cathay Pacific,Hong Kong International,HKG,2026-08-16T14:25:00+00:00,Seoul (Incheon),ICN,2026-08-16T19:05:00+00:00,landed
CX419,Qatar Airways,Seoul (Incheon),ICN,2026-08-16T20:05:00+00:00,Hong Kong International,HKG,2026-08-16T23:00:00+00:00,active
CX426,American Airlines,Hong Kong International,HKG,2026-08-16T19:45:00+00:00,Seoul (Incheon),ICN,2026-08-17T00:25:00+00:00,scheduled
CX427,Cathay Pacific,Seoul (Incheon),ICN,2026-08-17T01:55:00+00:00,Hong Kong International,HKG,2026-08-17T04:45:00+00:00,scheduled
CX430,Cathay Pacific,Hong Kong International,HKG,2026-08-16T17:40:00+00:00,Seoul (Incheon),ICN,2026-08-16T22:25:00+00:00,active
CX434,Cathay Pacific,Hong Kong International,HKG,2026-08-16T07:55:00+00:00,Seoul (Incheon),ICN,2026-08-16T12:40:00+00:00,landed
CX439,Qatar Airways,Seoul (Incheon),ICN,2026-08-16T13:40:00+00:00,Hong Kong International,HKG,2026-08-16T16:30:00+00:00,landed
HX626,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T20:50:00+00:00,Seoul (Incheon),ICN,2026-08-17T01:35:00+00:00,scheduled
HX627,Hong Kong Airlines,Seoul (Incheon),ICN,2026-08-17T02:35:00+00:00,Hong Kong International,HKG,2026-08-17T05:45:00+00:00,scheduled
