IATA,Duration
CTS,5h 05m
NRT,4h 15m
HND,4h 10m
KIX,3h 30m
FUK,3h 15m
TPE,1h 45m
KHH,1h 30m
ICN,3h 35m
BKK,2h 55m
DMK,2h 50m
SIN,3h 50m
KUL,3h 55m
MNL,2h 10m
SGN,2h 35m
HAN,2h 10m
CGK,4h 50m
DPS,5h 05m
PEK,3h 15m
PKX,3h 10m
PVG,2h 30m
SHA,2h 25m
CTU,2h 45m
CKG,2h 30m
HGH,2h 15m
NKG,2h 25m
XMN,1h 30m
LHR,14h 20m
CDG,13h 45m
FRA,13h 15m
AMS,13h 05m
ZRH,12h 45m
JFK,15h 40m
LAX,12h 15m
SFO,12h 00m
YVR,11h 50m
YYZ,15h 10m
SYD,9h 05m
MEL,9h 20m
BNE,8h 40m
PER,7h 35m
AKL,11h 05m
DXB,8h 20m
DOH,8h 35m
DEL,6h 00m
BOM,6h 15m
